Series ID,Team,League,Mode,Slots used,,,
68399,Sabres,FL,3s,B,C,D,F
68535,Wizards,FL,3s,B,D,E,
68535,Comets,FL ,3s ,C,E,F,
68488,Express,PL,2s,A,B,,
68489,Express,PL,3s,A,B,C,
68488,Outlaws,PL,2s,A,B,,
68489,Outlaws,PL,3s,A,B,C,
68691,Foxes,CL,3s,A,B,C,
68691,Spectre,CL,3s,A,B,C,
68607,Elite,FL,3s,A,B,C,
68607,Dodgers,FL,3s,A,B,C,
68657,Aviators,PL,3s,A,B,C,
68657,Shadow,PL,3s,B,D,E,
68658,Shadow,ML,2s,C,E,,
68658,Aviators,ML,2s,A,F,,
69050,Wizards,CL,2s,G,H,,
69050,Eclispe,CL,2s,G,H,,
68369,Bears,PL ,3s,A ,B,C,
68369,Bulls,PL ,3s,A,B,C,
68891,Bears,ML ,3s,A,B,C,
68891,Rhinos,ML,3s,A,B,C,
68991,Bears,AL,3s,A,B,C,
68991,Spartans,AL,3s,A,B,C,
68897,Lightning ,PL,3s,A,B,C,
68897,Aviators,PL,3s,A,B,C,
69137,Bears,PL,3s,A,B,C,
69137,Pandas,PL,3s,A,B,C,
69160,Lightning ,PL,2s,B,C,,
69160,Hive,PL,2s,C,D,,
69241,Spartans,PL,3s,A,B,C,
69241,Rhinos,PL,3s,A,B,C,
69213,Wizards,AL,3s,B,C,E,
69213,Tyrants,AL,3s,B,E,F,
